Sentence,Triple,Source
"That's what Cardi B and ""You"" star Penn Badgley did after sharing some mutual appreciation on that platform.","Penn Badgley, starred_in, ""You""",https://www.cnn.com/2021/10/21/entertainment/cardi-b-penn-badgley-friendship/index.html
Cardi B and Penn Badgley are the Twitter friendship we didn't know we needed.,"Cardi B, friend, Penn Badgley",
"To anyone who remembers seeing David Lynch's 1984 version of ""Dune"" and thinking, ""OK, so that happened,"" director Denis Villeneuve has conjured a far more coherent narrative filled with stunning images and massive machinery.","Denis Villeneuve, job_title, director",https://www.cnn.com/2021/10/20/entertainment/dune-review/index.html
"As is, Villeneuve (whose credits include ""Blade Runner 2049"" and ""Arrival"") enlists a high-voltage cast to bring to life Frank Herbert's tale of warring houses, and the emergence of young Paul Atreides (Timothée Chalamet) as the messianic heir to a ""great destiny.""","Timothée Chalamet, represents, Paul Atreides ",
"The budding battle pits House Atreides against the merciless forces of the Harkonnen, overseen by the grotesque Baron (Stellan Skarsgard), for control of Arrakis and its precious spice, the key to space travel.","Stellan Skarsgard, represents, Baron",
"Paul comes along on the mission with his father the Duke (Oscar Isaac) and mother Lady Jessica (Rebecca Ferguson), who has bequeathed him another birthright that will figure heavily in his future.","Oscar Isaac, represents, Duke",
,"Rebecca Ferguson, represents, Lady Jessica",
,"Paul, son_of, Lady Jessica",
,"Paul, son_of, the Duke",
,"Lady Jessica, mother_of, Paul",
,"Duke, father_of, Paul",
"Zendaya is the most obvious casualty of that frontloading in terms of her limited role, but other members of the cast -- which also includes Jason Momoa, Josh Brolin and Dave Bautista among those with superhero (or villain) credentials -- receive modest screen time thanks to the sprawling nature of the story.","Jason Momoa, member_of, cast",
,"Josh Brolin, member_of, cast",
,"Dave Bautista, member_of, cast",
"""Arakis has seen men like you come and go,"" Stilgar (Javier Bardem), the Fremen leader, pointedly tells the Duke when they meet.","Javier Bardem, represents, Stilgar",
,"Stilgar, leader_of, Fremen",
"The film, which has an all-star cast led by Timothée Chalamet, is based on the 1965 seminal science fiction novel by Frank Herbert, and fans of the book showed up for the new adaptation this weekend.","Frank Herbert, author_of, 1965 seminal science fiction novel",Dune' caps off solid month for movie theaters - CNN
,"Timothée Chalamet, leader_of, all-star cast ",
"The opening numbers are also notable because many of those fans could have just stayed home and watched ""Dune"" on HBO Max, the streaming service from CNN's parent company, WarnerMedia. ","WarnerMedia, parent_of, HBO Max",
"""Although one weekend remains, 'Dune' caps off an historically symbolic October as the pandemic box office recovery continues,"" Shawn Robbins, chief analyst at BoxOffice.com, told CNN Business.","Shawn Robbins, job_title, chief analyst at BoxOffice.co",
The PSLF Program was enacted with bipartisan support and signed into law by President George W. Bush in 2007.,"George W. Bush, job_title, President ",https://www.cnn.com/2021/10/22/perspectives/public-service-loan-forgiveness-program/index.html
"Sylvester Turner is the mayor of Houston, Texas and president of the African American Mayors Association.","Sylvester Turner, mayor_of, Houston Texas",
,"Houston, city_of, Texas",
,"Sylvester Turne, president_of, African American Mayors Association",
"Julia Chatterley spoke with Mary Daly, president of the Federal Reserve Bank of San Francisco, on Thursday about the Fed news, how long inflation will last and the 'dirty word' we all need to stop focusing on.","Mary Daly, president_of, Federal Reserve Bank of San Francisco",
"One of your Federal Reserve colleagues, Raphael Bostic, the president of the Atlanta Fed, acknowledged in his view that price rises aren't simply so transitory.","Raphael Bostic, president_of, Atlanta Fed",
" Well, I welcome the review that Chair [Jerome] Powell is taking up about what rules and procedures should we use to do a very simple thing: Ensure that the public trust — which is our most important asset, our most important tool — is something we can earn every single day. "," Jerome Powell, job_title, Chair",
Pinterest also paid $22.5 million last year to settle a gender discrimination lawsuit brought by its former chief operating officer Francoise Brougher.," Francoise Brougher, job_title, chief operating officer of Pinterest",https://www.cnn.com/2021/10/20/tech/pinterest-stock-paypal-acquisition-reports/index.html
"PayPal (PYPL) has a history of big-ticket acquisitions, buying Japanese buy-now-pay-later service Paidy for $2.7 billion last month. The company's previous purchases include mobile payments platform Venmo and shopping reward site Honey.","PayPal, has_invested, Venmo",
,"PayPal, has_invested, Honey",
,"Paidy, acquired_by, PayPal",
,"PYPL, known_as, PayPal",
"In recent years, Pinterest has introduced more shopping features and also partnered with Shopify to make it easier for sellers to use Pinterest to reach potential customers.","Pinterest, partnered_with, Shopify",
"The company ""grappled with industry changes to the way advertising is targeted, optimized, and measured on iOS that created a more significant impact on our business than we had expected,"" Snap's chief business officer, Jeremi Gorman, said in prepared remarks, referring to Apple's smartphone operating system.","Jeremi Gorman, job_title, Snap's chief business officer",https://www.cnn.com/2021/10/21/tech/snap-stock-plunges-ios-ads/index.html
"Apple rolled out new privacy features as part of its iOS 14.5 update earlier this year, which gives iPhone users the ability to more easily opt out of letting apps track their behavior and sell their personal data to advertisers.","Apple, has_released, iOS 14.5 update",
"Snap had braced for the changes but was surprised by how big their impact was, CEO Evan Spiegel said Thursday.","Evan Spiegal, CEO_of, Snap",
"Frances Haugen, a whistleblower who used to work at Facebook as a product manager, testified earlier this month that the company is aware that its platforms are used to spread hate and misinformation but has failed to take action to prevent it.","Frances Haugen, known_as, whistleblower",https://www.cnn.com/2021/10/20/tech/facebook-name-change/index.html
" Philip Morris, the maker of Marlboro, changed its name to Altria, for example, and ValuJet became AirTran after one of its planes crashed in 1996.","Philip Morris, known_as, maker of Marlboro",
Dave Brown is a firearms safety specialist and professional instructor based in Winnipeg Canada. ,"Dave Brown, job_title, professional instructor",https://www.cnn.com/2021/10/25/opinions/film-set-guns-safety-brown/index.html
,"Dave Brown, job_title, firearms safety specialist",
"Jay Parini, a poet and novelist, teaches at Middlebury College.","Jay Parini, job_title, poet",https://www.cnn.com/2021/09/17/opinions/york-pennsylvania-school-district-book-ban-parini/index.html
,"Jay Parini, job_title, novelist",
"His most recent book is ""Borges and Me,"" a memoir of his travels in the highlands of Scotland with Argentine writer Jorge Luis Borges in 1971. ","Jorge Luis Borges, resident_of, Argentine",
,"Jorge Luis Borges, job_title, writer",
" In July, Lt. Gov Dan Patrick canceled a promotional event for the book at the Bullock State History Museum.","Dan Patrick, job_title, Lt. Gov",
"""Forget the Alamo,"" by historians Bryan Burrough, Chris Tomlinson, and Jason Stanford, is an important corrective.","Bryan Burroug, known_as, historian",
,"Chris Tomlinson, known_as, historian",
,"Jason Stanford, known_as, historian",
"A fine book by Sherman Alexie, ""The Absolutely True Diary of a Part-Time Indian,"" has been on the list of challenged books since it first appeared in 2007, largely because of its unflinching depiction of the lives of some American Indians. ","Sherman Alexie, author_of, ""The Absolutely True Diary of a Part-Time Indian""",
"The magical novel ""The Kite Runner,"" by Khaled Hosseini, has been banned because some parents seem to believe, rather ludicrously, that it promotes terrorism and Islam.","Khaled Hosseini, author_of, ""The Kite Runner""",
"Many liberal parents don't want their children to encounter the N-word anywhere, not even in what is in my view the greatest American novel, ""Huckleberry Finn,"" by Mark Twain.","Mark Twain, author_of, ""Huckleberry Fin""",
"""Of Mice and Men,"" an important short novel by John Steinbeck, is also frequently challenged because of its supposed racial stereotyping, even though it's a profound and humane book that raises issues every teenager should be asked to consider.","John Steinbeck, author_of, ""Of Mice and Men""",
"Book banning is a bipartisan game, a point nicely made by Jonathan Zimmerman, a self-described liberal who wrote in The Dallas Morning News: ""When conservatives try to ban a book, we liberals get up in arms.","Jonathan Zimmerman, known_as, liberal",
Students like Ellis are absolutely right to object to authoritarian attempts to control their worldview.,"Ellis, known_as, student",
"""The level of violence is horrifying — more than most shows,"" said David Anderson, head of School and Community Programs at the Child Mind Institute, in a statement. ","David Anderson, head_of, School and Community Programs at the Child Mind Institute",https://www.cnn.com/2021/10/24/entertainment/squid-game-children-netflix-wellness-cec/index.html
"Psychologist John Duffy, author of ""Parenting the New Teen in the Age of Anxiety,"" practices in Chicago.","John Duffy, job_title, Psychologist",https://www.cnn.com/2021/10/05/health/instagram-self-esteem-parenting-wellness/index.html
,"John Duffy, author_of, ""Parenting the New Teen in the Age of Anxiety""",
"Shame or embarrassment about financial mistakes can prevent parents from having positive money conversations with their children, said Monica Eaton, a certified financial education instructor and founder of Alconbury Press, a media company focused on financial literacy for kids.","Monica Eaton, job_title, certified financial education instructor",https://www.cnn.com/2021/10/13/world/money-talk-tween-teens-wellness/index.html
,"Monica Eaton, founder_of, Alconbury Press",
"There is no need to dwell too much on financial struggles, advised Beth Kobliner, author of ""Make Your Kid a Money Genius (Even If You're Not).""","Beth Kobliner, author_of, ""Make Your Kid a Money Genius (Even If You're Not)""",
"In a press statement, jury member Hamish Crooks of Magnum Photos said: ""This was a tough competition to judge and I was pleasantly surprised by the standard of all the entries presented to us especially in terms of their compositional and technical quality.""","Hamish Crooks, member_of, Magnum Photos jury",Architectural Photography Awards 2021: The year's most stunning architectural photos revealed - CNN Style
"It was the late 1980s when South Korean artist Myonghi Kang began work on her painting ""Le temps des camélias"" (""The Time of Camellias"").","Myonghi Kang, job_title, artist",https://www.cnn.com/style/article/myonghi-kang-villepin/index.html
"The gallerist behind the show, Arthur de Villepin, believes the work's beauty is found in the small ""details"" observed in its company.","Arthur de Villepin, job_title, gallerist",
"She had canceled a trip to Northern Ireland last week following medical advice to rest more, but resumed ""light duties"" on Tuesday with two virtual audiences with Korean ambassador Gunn Kim, and Swiss ambassador Markus Leitner.","Markus Leitner, job_title, ambassador",https://www.cnn.com/2021/10/26/uk/queen-elizabeth-first-engagements-uk-scli-gbr-intl/index.html
,"Gunn Kim, job_title, ambassador ",
"Flash flooding has turned roads into rivers in the port city of Catania, on the Italian island of Sicily.","Catania, part_of, Sicily",Flash flooding in Italian city turns roads into rivers - CNN
,"Sicily, part_of, Italy",
"The highest rainfall totals from Sunday to Tuesday morning are from Linguaglossa, Sicily, with 520.4 millimeters (20 inches) and Fabrizia, Calabria, with 440.2 millimeters (17 inches). ","Linguaglossa, city_of, Sicily",
,"Fabrizia, city_of, Calabria",
"Catania's mayor Salvo Pogliese has ordered schools and public gardens remain closed on Tuesday due to the situation, according to Catania's municipality website. ","Salvo Pogliese, mayor_of, Catania",
"""Given the information now that we've gleaned from the scene, the fact that the search has gone on for this period of time and we haven't been able to locate her... that leads us to believe that she was taken from the tent,"" Western Australia Police Major Crime Division Superintendent Rod Wilde said in a press conference Thursday.","Rod Wilde, job_title, Western Australia Police Major Crime Division Superintendent ",https://www.cnn.com/2021/10/21/australia/cleo-smith-missing-reward-intl-hnk/index.html
"With few clues to go on, Western Australia's Premier Mark McGowan and Police Minister Paul Papalia announced a reward Thursday for information that leads to Cleo, or to the arrest and conviction of the person or people involved in her disappearance.","Mark McGowan, job_title, Western Australia's Premier ",
,"Paul Papalia, job_title, Western Australia's Police Minister ",
"On Tuesday, Cleo's distraught mother, Ellie Smith, and Smith's partner, Jake Gliddon, made a public appeal for help to find the girl.","Ellie Smith, partner_of, Jake Gliddo",
,"Ellie Smith, mother_of, Cleo",
"In a news conference on Wednesday, WA Police Inspector Jon Munday told reporters police would not stop searching until they were convinced Cleo was no longer in the search area.","Jon Munday, job_title, WA Police Inspector ",
"Khabane ""Khaby"" Lame, the second most-followed person on TikTok, at the Venice International Film Festival in September.","Khabane Lame, known_as, Khaby",https://www.cnn.com/2021/10/02/world/tiktok-khaby-lame-cec/index.html
"The only other person ahead of him is dancer Charli D'Amelio, a California teen who posts playful videos, often with her older sister Dixie.","Charli D'Amelio, resident_of, California",
,"Charli D'Amelio, sister_of, Dixie",
,"Charli D'Amelio, known_as, dancer",
"And Lame, 21, does it all without saying a word.","Lame, age, 21",
"""You don't need to speak to be seen or understood,"" said Christina Ferraz, founder of Houston-based marketing agency Thirty6five. ","Thirty6five, founded_by, Christina Ferraz",
"His posts get thumbs-ups from celebrities, including his idol, actor Will Smith.","Will Smith, known_as, actor",
,"Will Smith, known_as, celebrity",
"Tani, who turned 11 in September, is taking the same approach with his chess career. ","Tani, age, 11",Tani Adewumi: How chess changed the fortunes of 11-year-old prodigy and his family - CNN
"That record currently belongs to 12-year-old Abhimanyu Mishra, but Tani is putting in the hours to try to get there faster.","Abhimanyu Mishra, age, 12-year-old",
"""One family, they paid for a year's rent in Manhattan, one family gave us in 2019 a brand-new Honda, and the Saint Louis Chess Club in Missouri invited the family and the coaches to come and pay a visit,"" Tani's father, Kayode Adewumi, who works as a real estate agent, tells CNN Sport.","Kayode Adewumi, father_of, Tani",
,"Kayode Adewumi, job_title, real estate agent",
"Walter Smith, who guided Scottish club Rangers to 10 league titles, has died at the age of 73.","Walter Smith, age, 73",Walter Smith: Former Rangers manager dies at the age of 73 - CNN
"""I looked up to Walter with so much respect,"" West Ham's Scottish manager David Moyes told the League Managers Association.","David Moyes, West Ham's Scottish manager",
"But such a caveat doesn't make the daily balancing act of 20-year-old Lena Güldenpfennig, a striker for RB Leipzig by day and professional player for the club's esports team RBLZ Gaming by night, any less impressive.","Lena Güldenpfennig, age, 20-year-old",https://www.cnn.com/2021/10/19/football/lena-guldenpfennig-leipzig-esports-spt-intl/index.html
"Attorney General Merrick Garland on Monday said in statement that preventing and responding to hate crimes are among the Justice Department's top priorities.","General Merrick, job_title, Attorney","Hate crime reports in US surge to the highest level in 12 years, FBI says - CNN"
"Last week, the US intelligence community reached an inconclusive assessment about the origin of the Covid-19 virus following a 90-day investigation ordered by President Joe Biden, according to an unclassified summary of the probe released publicly on Friday.","Joe Biden, job_title, President",
"But the issue is a major focus for the administration and China's plans for Taiwan are among the ""preeminent issues"" for the CIA's new China Mission Center, a newly-created body focused exclusively on gathering and analyzing intelligence on Beijing, CIA Deputy Director David Cohen said at an intelligence conference this week.","David Cohen, job_title, CIA Deputy Director ",https://www.cnn.com/2021/10/26/politics/us-taiwan-war-game/index.html
"On Tuesday, Secretary of State Antony Blinken called for Taiwan's ""meaningful participation"" in the United Nations, hailing the island as a ""democratic success story."" ","Antony Blinken, job_title, Secretary of State",
"Xi has also ""undoubtedly concluded it is to his advantage when he decides to move on to Taiwan to coordinate those activities with Russians to complicate the United States problem with dealing with multiple crises,"" said Mark Kelton, a former CIA deputy director.","Mark Kelton, job_title, CIA deputy director",
"""Taiwan is going to be a test,"" said Norm Roule, former National Intelligence Manager on Iran.","Norm Roule, job_title, National Intelligence Manager on Iran",
"""With the daily incursions into the air identification zone surrounding Taiwan, Xi is clearly signaling and testing Western resolve,"" said the CIA's former Deputy Director for Counterintelligence, Mark Kelton, at the conference.","Mark Kelton, job_title, CIA's former Deputy Director for Counterintelligence",
"Tesla chief executive Musk has a net worth of nearly $289 billion, according to Bloomberg, meaning that Beasley is asking for a donation of just 2% of his fortune.","Musk, chief_executive_of, Tesla",https://www.cnn.com/2021/10/26/economy/musk-world-hunger-wfp-intl/index.html
"In Ethiopia, the WFP estimates that 5.2 million people are in urgent need of food assistance in the Tigray region, where Prime Minister Abiy Ahmed has led a major offensive against the Tigray People's Liberation Front (TPLF) since last year."," Abiy Ahmed , job_title, Prime Minister",
,"TPLF, known_as, Tigray People's Liberation Front",
"""We are trying to open up a whole new arena for finding other worlds by searching for planet candidates at X-ray wavelengths, a strategy that makes it possible to discover them in other galaxies,"" Rosanne Di Stefano, lecturer instructor in astronomy at the Center for Astrophysics at the Harvard & Smithsonian in Cambridge, Massachusetts, who led the study, said in a statement.","Rosanne Di Stefano, job_title,  lecturer instructor in astronomy at the Center for Astrophysics at the Harvard & Smithsonian",https://www.cnn.com/2021/10/26/world/exoplanet-intl-scli-scn/index.html
,"Cambridge, city_of, Massachusetts,",
,"Rosanne Di Stefano, leader_of, study",
"""Unfortunately to confirm that we're seeing a planet we would likely have to wait decades to see another transit,"" co-author astrophysicist Nia Imara, of the University of California at Santa Cruz, said in a statement. ","Nia Imara, member_of, University of California at Santa Cruz",
,"Nia Imara, job_title, co-author astrophysicist",
"John Tomsick will be the mission's principal investigator at the University of California, Berkeley.","John Tomsic, job_title, mission's principal investigator",https://www.cnn.com/2021/10/19/world/nasa-new-telescope-milky-way-scn/index.html
"This season, viewers will get to see both Molly and her friendship with Issa grow.","Molly, friend, Issa",Insecure's' Yvonne Orji is going to miss Molly too - CNN
"Orji calls playing attorney (and bestie to Issa Dee, played Issa Rae) Molly Carter ""life changing"" and said the ending of the show has been emotional for her.","Orji, friend, Issa Rae",
,"Orji, represents, Molly Carter",
,"Molly Carter, job_title, attorney",
,"Issa Rae, represents, Issa Dee",
"In addition to Scott, whose most pertinent credentials for these purposes include ""Gladiator"" (successfully) and ""Kingdom of Heaven"" (considerably less so), the film was written and produced by Matt Damon and Ben Affleck.","Matt Damon, job_title, producer ",The Last Duel' review: Matt Damon and Adam Driver square off in Ridley Scott's fact-based period epic - CNN
,"Ben Affleck, job_title, producer",
"The contest pitted a knight, Jean de Carrouges (Damon), against the perfectly named Jacques Le Gris (the ubiquitous Adam Driver), seeking justice after Carrouges' wife Marguerite (""Killing Eve's"" Jodie Comer) accused her husband's one-time comrade in arms of raping her.","Damon, represent, Jean de Carrouges ",
,"Marguerite, wife_of, Carrouges ",
,"Jodie Come, represent, Marguerite",
"""The Last Duel"" of the title doesn't disappoint in director Ridley Scott's latest period epic, but the protracted buildup to it somewhat does.","Ridley Scott, director_of, ""The Last Duel""",
"In an intriguing division of labor, the longtime colleagues collaborated on the script with independent writer-director Nicole Holofcener, who worked on the portion told from the woman's point of view.","Nicole Holofcener, job_title, independent writer-director ",
"At 83, Scott's knack for brawny filmmaking that transports audiences into different worlds and times hasn't diminished. ","Scott, age, 83",
Facebook whistleblower Frances Haugen's legal counsel — revealed new details about the company's challenges.,"Frances Haugen, job_title, Facebook whistleblower ",https://www.cnn.com/2021/10/27/media/facebook-pr-strategy/index.html
"On October 3, ""60 Minutes"" aired an exclusive interview with Haugen, a former Facebook product manager who released internal documents to regulators and to The Journal.","Haugen, job_title, Facebook product manager",
"Facebook communications executive Andy Stone used the hearing as an opportunity to remind the public that Haugen ""did not work on child safety or Instagram or research these issues,"" which is something Haugen herself noted in her testimony, though Stone went further to say she ""has no direct knowledge of the topic from her work at Facebook.""","Andy Stone, executive_of, Facebook communications ",
"The Twitter thread concluded with a jab at the consortium of journalists working on The Facebook Papers and a sign off from Facebook's vice president of communications, John Pinette.","John Pinette, vice_president_of, Facebook communications",
"Amazon (AMZN), which acquired Whole Foods in 2017, had previously offered free two-hour delivery for Prime members, but warned shoppers last month a new charge was coming.","AMZN, known_as, Amazon",https://www.cnn.com/2021/10/28/business/walmart-amazon-prime-fee/index.html
,"Whole Foods, acquired_by, Amazon ",
Walmart (WMT) didn't waste any time trolling its retail rival.,"WMT, known_as, Walmart",
"In August, Walmart launched its own delivery service, GoLocal.","Walmart, has_launched, GoLocal",
"When CNN's Anderson Cooper asked that question on Wednesday night, Santa Fe County Sheriff Adan Mendoza said, ""Right now we can't determine exactly how that live bullet got into the firearm. ","Adan Mendoza. job_title, Santa Fe County Sheriff ",https://www.cnn.com/2021/10/28/media/rust-movie-shooting-industry-changes/index.html
,"Anderson Cooper, member_of, CNN",
Campbell raised this subject in an interview with Santa Fe district attorney Mary Carmack-Altwies.,"Mary Carmack-Altwies, job_title, Santa Fe district attorney ",
"Asked if the industry needs greater government oversight to avoid a similar situation from happening again, Carmack-Altwies said that she would leave that decision to legislators and the governor, but that she would support New Mexico Gov. Michelle Lujan Grisham if she were to call for stricter measures.","Michelle Lujan Grisham, job_title, New Mexico Gov. ",
"Following the teen star are five-time AMA winner The Weeknd, who scored six nominations this year."," The Weeknd, awarded_for, AMA",https://www.cnn.com/2021/10/28/entertainment/american-music-awards-2021-nominees/index.html
"Hours after the US Supreme Court vacated a ruling that granted a stay of execution for death row inmate John Grant, a witness to the execution on Thursday said Grant convulsed and vomited after the first drug, Midazolam, was administered.","John Grant, known_as, death row inmate ",https://www.cnn.com/2021/10/28/us/oklahoma-execution-john-marion-grant/index.html
"According to CNN affiliate KOKH reporter Dan Snyder, who attended the execution at the state penitentiary in McAlester, Oklahoma, Grant began convulsing almost immediately after the first drug was administered.","Dan Snyder, job_title, CNN affiliate KOKH reporter ",
,"McAlester, city_of, Oklahoma",
"An attorney for Grant, Sarah Jernigan, said in a statement to CNN on Thursday, ""John Grant took full responsibility for the murder of Gay Carter, and he spent his years on death row trying to understand and atone for his actions, more than any other client I have worked with."," Sarah Jerniga, known_as, attorney for Grant",
"The time of death was 4:21 p.m., local time, according to Oklahoma Corrections Communications Director Justin Wolf.","Justin Wolf, director_of, Oklahoma Corrections Communications ",
"Ellidy Pullin, the partner of Australian Olympic snowboarder Alex ""Chumpy"" Pullin, has given birth to their daughter 15 months after his death last year.","Ellidy Pullin, partner_of, Alex Pullin",https://www.cnn.com/2021/10/28/sport/ellidy-alex-pullin-baby-intl-spt/index.html
,"Alex Pullin, known_as, Chumpy",https://www.cnn.com/2021/10/28/sport/ellidy-alex-pullin-baby-intl-spt/index.htmll
,"Alex Pullin, job_title, Australian Olympic snowboarder",
"Pullin, a two-time world champion snowboarder died while spearfishing in his native Australia in July 2020.","Pullin, place_of_death, Australia",
,"Pullin, date_of_death, July 2020",
,"Pullin, known_as, two-time word champion snowboarder",
"The snowboarder, 32, was the Australian flag bearer at the 2014 Winter Olympics in Sochi, Russia, and competed in three Olympics in total.","Sochi, city_of, Russia",
,"snowboarder, age, 32",
"The pair's baby, Minnie Alex Pullin, was conceived via IVF (in vitro fertilization) and was born on October 25.","Minnie Alex Pullin, date_of_birth, October 25",
"Another diver found Pullin unconscious without an oxygen mask, Gold Coast Police District Duty Officer Chris Tritton told CNN affiliate 9 News at the time, adding that the snowboarder appeared to be diving alone at the time.","Chris Tritton, job_title, Gold Coast Police District Duty Officer ",
